id,level,name,type,parent_id
nom_2548,3,VENT - Ventouse,Mandatory,ESUR - Surgical Instruments
nom_2549,3,VERA - Verapamil,Mandatory,DINJ - Injectable Drugs
nom_2550,3,VERA - Verapamil,Mandatory,DORA - Oral Drugs
nom_2551,3,VERM - Vermiculite,Mandatory,CBUI - Building
nom_2552,3,VEST - Vest,Mandatory,ALIF - Team Life
nom_2553,3,VEST - Vest,Mandatory,PIDE - Identification
nom_2554,3,"VHEA - Vaccine, Hepatitis A",Mandatory,DVAC - Vaccines
nom_2555,3,VHEB - Vaccine Hepatitis B,Mandatory,DVAC - Vaccines
nom_2556,3,VIBO - View box,Mandatory,EDIM - Diagnostic Imaging equipment
nom_2557,3,VICE - Vice,Mandatory,PTOO - Tools
nom_2558,3,VINC - Vincristine,Mandatory,DINJ - Injectable Drugs
nom_2559,3,VMEA - Vaccine Measles,Mandatory,DVAC - Vaccines
nom_2560,3,VMEN - Vaccine Meningitis,Mandatory,DVAC - Vaccines
nom_2561,3,VOLA - Voltage adaptor,Mandatory,PELE - Electricity
nom_2562,3,VOLL - Voltage limiter,Mandatory,PELE - Electricity
nom_2563,3,VOLS - Voltage stabiliser,Mandatory,PELE - Electricity
nom_2564,3,VOLT - Voltage transformer,Mandatory,PELE - Electricity
nom_2565,3,VORT - Vortex mixer,Mandatory,ELAE - Laboratory Equipment
nom_2566,3,VOUC - Voucher,Mandatory,ALST - Logistic Stationery
nom_2567,3,VPNE - Vaccine Pneumococcal conjugate,Mandatory,DVAC - Vaccines
nom_2568,3,VPOL - Vaccine Polio Oral,Mandatory,DVAC - Vaccines
nom_2569,3,VRAB - Vaccine Antirabius,Mandatory,DVAC - Vaccines
nom_2570,3,VTET - Vaccine Tetanus,Mandatory,DVAC - Vaccines
nom_2571,3,VTYP - Vaccine Typhoid,Mandatory,DVAC - Vaccines
nom_2572,3,VULT - Vulcanising tape,Mandatory,PCOM - Communication
nom_2573,3,VVFB - Vesico-vaginal fistula book,Mandatory,L008 - Surgery-Anaesthesia-Dentistry-Physiotherapy-Transf
nom_2574,3,VYEF - Vaccine Yellow Fever,Mandatory,DVAC - Vaccines
nom_2575,3,WAMB - Waste Management Book,Mandatory,L029 - Nursing - Infection Control
nom_2576,3,WAPI - Wireless Access Point,Mandatory,ADAP - Data Processing
nom_2577,3,WARE - Warehouse,Mandatory,CSHE - Shelters
nom_2578,3,"WARI - Warmer, infant",Mandatory,EHOE - Hospital Equipment
nom_2579,3,WASH - Washer,Mandatory,PHDW - Hardware
nom_2580,3,WASM - Washing machine,Mandatory,ALIF - Team Life
nom_2581,3,WASM - Washing machine,Mandatory,PHYG - Hygiene
nom_2582,3,WASO - Water-softener,Mandatory,ESTE - Sterilization
